Onboarding Step,Status*,Step Reason,Who Gets Notified,
Services Disrupted,Family Request,Pending Clinic Opening,OM (site),
Services Disrupted,Family Request,Clinic Capacity,OM (site),
Services Disrupted,Family Request,Family Requested Pause,OM (site),
Services Disrupted,Clinical Hold,,OM (site),
Services Disrupted,Pending Restart,Pending Confirmation,OM (site),
Services Disrupted,Pending Restart,Pending First Service,OM (site),
Services Disrupted,Pending Restart,Technician Ready,OM (site),
Services Disrupted,Rescheduled - Pending Start,,OM (site),
Inactive,Disqualified (never treated),Location,Back End Intake Coordinator (region),
Inactive,Disqualified (never treated),Age,Back End Intake Coordinator (region),
Inactive,Disqualified (never treated),Doesn't Want Therapy,Back End Intake Coordinator (region),
Inactive,Disqualified (never treated),Insufficient Clinical Capabilities/Resources,Back End Intake Coordinator (region),
Inactive,Disqualified (never treated),Insurance Not Accepted,Back End Intake Coordinator (region),
Inactive,Disqualified (never treated),Junk,Back End Intake Coordinator (region),
Inactive,Disqualified (never treated),Language,Back End Intake Coordinator (region),
Inactive,Disqualified (never treated),No Diagnosis,Back End Intake Coordinator (region),
Inactive,Disqualified (never treated),Place of Service Non-Viable,Back End Intake Coordinator (region),
Inactive,Disqualified (never treated),Selected Other Service Provider,Back End Intake Coordinator (region),
Inactive,Disqualified (never treated),Stopped Responding Post Initial Intake,Back End Intake Coordinator (region),
Inactive,Disqualified (never treated),Unresponsive,Back End Intake Coordinator (region),
Inactive,Disqualified (never treated),Wants Clinic,Back End Intake Coordinator (region),
Inactive,Disqualified (never treated),Wants School,Back End Intake Coordinator (region),
Inactive,Discharged (at least one treatment),Attendance,Back End Intake Coordinator (region),
Inactive,Discharged (at least one treatment),Changing Providers,Back End Intake Coordinator (region),
Inactive,Discharged (at least one treatment),Clinical Discharge,Back End Intake Coordinator (region),
Inactive,Discharged (at least one treatment),Graduation,Back End Intake Coordinator (region),
Inactive,Discharged (at least one treatment),Loss of Insurance,Back End Intake Coordinator (region),
Inactive,Discharged (at least one treatment),Onboarding Discharge,Back End Intake Coordinator (region),
Inactive,Discharged (at least one treatment),Payor Discharge,Back End Intake Coordinator (region),
Inactive,Discharged (at least one treatment),Relocated out of service area,Back End Intake Coordinator (region),
Inactive,Discharged (at least one treatment),Voluntary/Parent Choice,Back End Intake Coordinator (region),
